ID;Name Deutsch;Name Latein;Pflanzenfamilie;Jan;Feb;Mar;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Wuchsform;rot;orange;gelb;grün;blau;violett;rosa;weiss;Funddatum;Notizen
1;Fieberklee;Menyanthes trifoliata;Menyanthaceae;0;0;0;0;1;1;0;0;0;0;0;0;Hydrophyt;0;0;0;0;0;0;0;1;30.01.2026;Moser
2;Teichrose;Nuphar lutea;Nymphaeaceae;0;0;0;0;0;1;1;1;0;0;0;0;Hydrophyt;0;0;1;0;0;0;0;0;23.06.2026;Moser
3;Strauss-Gilbweiderich;Lysimachia thyrsiflora;Primulaceae;0;0;0;0;1;1;1;0;0;0;0;0;Hydrophyt;0;0;1;0;0;0;0;0;11.04.2026;Moser
4;Wasserfeder;Hottonia palustris;Primulaceae;0;0;0;0;1;1;1;0;0;0;0;0;Hydrophyt;0;0;0;0;0;0;0;1;10.05.2026;Moser
5;Gemeiner Wasserschlauch;Utricularia vulgaris;Lentibulariaceae;0;0;0;0;0;1;1;1;0;0;0;0;Hydrophyt;0;0;1;0;0;0;0;0;;fehlt Moser
6;Froschbiss;Hydrocharis morsus-ranae;Hydrocharitaceae;0;0;0;0;0;1;1;1;0;0;0;0;Hydrophyt;0;0;0;0;0;0;0;1;03.08.2026;Moser
7;Sandmohn;Papaver argemone;Papaveraceae;0;0;0;1;1;1;0;0;0;0;0;0;Einjähriges Kraut;1;0;0;0;0;0;0;0;;Nicht gewachsen nach Aussaat
8;Muskateller-Salbei;Salvia sclarea;Lamiaceae;0;0;0;0;0;1;1;0;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;1;1;0;;Nicht gewachsen nach Aussaat
9;Wiesen-Salbei;Salvia pratensis;Lamiaceae;0;0;0;0;1;1;1;1;0;0;0;0;Staude;0;0;0;0;0;1;0;0;25.04.2026;
10;Kornblume;Centaurea cyanus;Asteraceae;0;0;0;0;0;1;1;1;1;1;0;0;Einjähriges Kraut;0;0;0;0;1;0;0;0;;
11;Kornrade;Agrostemma githago;Caryophyllaceae;0;0;0;0;0;1;1;1;0;0;0;0;Einjähriges Kraut;0;0;0;0;0;0;1;0;;
12;Blutroter Storchschnabel;Geranium sanguineum;Geraniaceae;0;0;0;0;1;1;1;0;0;0;0;0;Staude;0;0;0;0;0;0;1;0;25.04.2026;
13;Kleiner Wiesenknopf;Sanguisorba minor;Rosaceae;0;0;0;0;1;1;1;1;0;0;0;0;Staude;1;0;0;1;0;0;0;0;;
14;Saat-Esparsette;Onobrychis viciifolia;Fabaceae;0;0;0;0;1;1;1;1;0;0;0;0;Staude;1;0;0;0;0;0;0;1;;
15;Echter Wundklee;Anthyllis vulneraria;Fabaceae;0;0;0;0;1;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;11.04.2026;
16;Pfennigkraut;Lysimachia nummularia L.;Primulaceae;0;0;0;0;0;1;1;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;;
17;Gewöhnlicher Hornklee;Lotus corniculatus;Fabaceae;0;0;0;0;1;1;1;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;;
18;Tessiner Rebe;Vitis labrusca;Vitaceae;0;0;0;1;1;0;0;0;0;0;0;0;Kletterpflanze;0;0;0;1;0;0;0;0;;Die Sorte heisst Magliasina.
19;Europäische Weinrebe;Vitis vinifera;Vitaceae;0;0;0;1;1;0;0;0;0;0;0;0;Kletterpflanze;0;0;0;1;0;0;0;0;;Die Sorte heisst Muscat bleu.
20;Europäische Weinrebe;"Vitis vinifera ""Seyval B""";Vitaceae;0;0;0;1;1;0;0;0;0;0;0;0;Kletterpflanze;0;0;0;1;0;0;0;0;03.08.2026;
21;Wintergrüne Ölweide;Elaeagnus ebbingei;Elaeagnaceae;0;0;0;0;0;0;0;0;1;1;1;0;Strauch;0;0;1;0;0;0;0;1;24.06.2026;
22;Feldahorn;Acer campestre;Sapindaceae;0;0;0;0;1;0;0;0;0;0;0;0;Baum;0;0;1;1;0;0;0;0;24.06.2026;
23;Roter Perückenstrauch;Cotinus coggygria;Anacardiaceae;0;0;0;0;0;1;1;0;0;0;0;0;Strauch;1;0;0;0;0;0;0;0;03.08.2026;Die Sorte heisst Royal Purple.
24;Chinesischer Gewürzstrauch;Elsholtzia stauntonii;Lamiaceae;0;0;0;0;0;0;0;1;1;1;0;0;Halbstrauch;0;0;0;0;0;0;1;0;;
25;Feigenbaum;Ficus carica;Moraceae;0;0;1;1;1;0;0;0;0;0;0;0;Baumartiger Strauch;0;0;0;0;0;0;0;0;24.06.2026;Die Sorte heisst Brown Turkey.
26;Blasenesche;Koelreuteria paniculata;Sapindaceae;0;0;0;0;0;0;1;1;1;0;0;0;Baum;0;0;1;0;0;0;0;0;24.06.2026;
27;Viermännige Tamariske;Tamarix tetrandra;Tamaricaceae;0;0;0;1;1;0;0;0;0;0;0;0;Strauch;0;0;0;0;0;0;1;0;02.05.2026;
28;Mönchspfeffer;Vitex agnus-castus;Lamiaceae;0;0;0;0;0;0;0;0;1;1;0;0;Strauch;0;0;0;0;0;1;0;0;24.06.2026;
29;Quittenbaum;Cydonia oblonga;Rosaceae;0;0;0;1;1;0;0;0;0;0;0;0;Baum;0;0;0;0;0;0;1;1;03.08.2026;Die Sorte heisst Vranja
30;Kletterrose;Rosa New Dawn;Rosaceae;0;0;0;0;0;1;1;1;1;1;0;0;Kletterpflanze;0;0;0;0;0;0;1;0;;
31;Strauchrose;Rosa Jacques Cartier;Rosaceae;0;0;0;0;0;1;1;1;1;1;0;0;Strauch;0;0;0;0;0;0;1;0;;Die Sorte heisst Damascener-Portlandrose
32;Schwarze Stockmalve;Alcea rosea Nigra;Malvaceae;0;0;0;0;0;0;1;1;1;0;0;0;Zweijähriges Kraut;1;0;0;0;1;0;0;0;;
33;Färber-Hundskamille;Anthemis tinctoria;Asteraceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;1;0;0;0;0;0;;
34;Grosse Klette;Arctium lappa;Asteraceae;0;0;0;0;0;0;1;1;1;0;0;0;Zweijähriges Kraut;0;0;0;0;0;1;0;0;;
35;Eberreis;Artemisia abrotanum;Asteraceae;0;0;0;0;0;0;1;1;1;1;0;0;Halbstrauch;0;0;1;1;0;0;0;0;;
36;Prärie-Aster;Aster turbinellus;Asteraceae;0;0;0;0;0;0;0;0;1;1;0;0;Staude;0;0;0;0;0;1;0;0;;
37;Pyrenäenaster;Aster pyrenaeus Lutetia;Asteraceae;0;0;0;0;0;0;0;1;1;1;0;0;Staude;0;0;0;0;0;1;1;0;;
38;Weidenblättriges Rindsauge;Buphthalmum salicifolium;Asteraceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;24.06.2026;
39;Bergminze;Calamintha nepeta;Lamiaceae;0;0;0;0;0;0;1;1;1;1;0;0;Staude;0;0;0;0;1;1;0;0;;
40;Knoblauchrauken-Glockenblume;Campanula alliariifolia;Campanulaceae;0;0;0;0;0;1;1;0;0;0;0;0;Staude;0;0;0;0;0;0;0;1;;
41;Großköpfige Flockenblume;Centaurea macrocephala;Asteraceae;0;0;0;0;0;1;1;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;08.07.2026;
42;Spornblume;Centranthus ruber Coccineus;Caprifoliaceae;0;0;0;0;1;1;1;1;0;0;0;0;Staude;1;0;0;0;0;0;0;0;17.05.2026;
43;Wegwarte;Cichorium intybus;Asteraceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;0;0;1;0;0;0;24.06.2026;
44;Kartäuser-Nelke;Dianthus carthusianorum ;Caryophyllaceae;0;0;0;0;0;1;1;1;1;1;0;0;Staude;1;0;0;0;0;0;0;0;;
45;Wilde Karde;Dipsacus fullonum;Caprifoliaceae;0;0;0;0;0;0;1;1;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;0;1;0;08.07.2026;
46;Prärie-Igelkopf;Echinacea pallida;Asteraceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;0;0;0;0;1;0;;
47;Rosmarin-Weidenröschen;Epilobium dodonaei;Onagraceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;1;;
48;Karvinskis Berufkraut;Erigeron karvinskianus;Asteraceae;0;0;0;0;0;1;1;1;1;1;0;0;Staude;0;0;0;0;0;0;1;1;17.05.2026;
49;Mittelmeer-Wolfsmilch;Euphorbia characias ssp. wulfenii;Euphorbiaceae;0;0;0;1;1;1;0;0;0;0;0;0;Halbstrauch;0;0;1;1;0;0;0;0;24.05.2026;
50;Langhaariges Habichtskraut;Hieracium pilosella;Asteraceae;0;0;0;0;1;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;17.05.2026;
51;Schopfiger Hufeisenklee;Hippocrepis comosa;Fabaceae;0;0;0;0;1;1;0;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;;
52;Gemeines Leinkraut;Linaria vulgaris;Plantaginaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;1;1;0;0;0;0;0;;
53; Stauden-Lein;Linum perenne;Linaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;0;1;0;0;0;;
54;Bisam-Malve;Malva moschata;Malvaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;0;0;0;1;0;15.06.2026;
55;Zweijährige Nachtkerze;Oenothera biennis;Onagraceae;0;0;0;0;0;1;1;1;1;0;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;;
56;Steinbrech-Felsennelke;Petrorhagia saxifraga;Caryophyllaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;0;0;0;1;0;15.06.2026;
57;Graues Heiligenkraut;Santolina chamaecyparissus;Asteraceae;0;0;0;0;0;0;1;1;0;0;0;0;Halbstrauch;0;0;1;0;0;0;0;0;;
58;Rotes Seifenkraut;Saponaria ocymoides;Caryophyllaceae;0;0;0;0;1;1;1;1;1;0;0;0;Staude;1;0;0;0;0;0;0;0;02.05.2026;
59;Gelbe Skabiose;Scabiosa ochroleuca;Caprifoliaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;15.06.2026;
60;Purpur-Fetthenne;Hylotelephium telephium;Crassulaceae;0;0;0;0;0;0;0;1;1;1;0;0;Sukkulente;1;0;0;0;0;0;0;0;;Die Sorte heisst Herbstfreude
61;Syrisches Gliedkraut;Sideritis syriaca;Lamiaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;1;0;0;0;0;0;02.05.2026;
62;Rainfarn;Tanacetum vulgare;Asteraceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;27.07.2026;
63;Violette Königskerze;Verbascum phoeniceum;Scrophulariaceae;0;0;0;0;1;1;1;0;0;0;0;0;Staude;0;0;0;0;0;1;0;1;;
64;Bronze-Fenchel;Foeniculum vulgare Purpureum;Apiaceae;0;0;0;0;0;0;1;1;0;0;0;0;Staude;0;0;1;0;0;0;0;0;;
65;Currykraut;Helichrysum italicum;Asteraceae;0;0;0;0;0;1;1;1;1;0;0;0;Halbstrauch;0;0;1;0;0;0;0;0;;
66;Echter Ysop;Hyssopus officinalis;Lamiaceae;0;0;0;0;0;0;1;1;1;0;0;0;Halbstrauch;0;0;0;0;1;0;0;0;;
67;Marokkanischer Oregano;Origanum vulgare Compactum;Lamiaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;0;0;0;0;1;0;;
68;Rosmarin;Rosmarinus officinalis;Lamiaceae;0;0;1;1;1;1;1;1;1;1;0;0;Strauch;0;0;0;0;1;0;0;1;25.04.2026;
69;Wein-Raute;Ruta graveolens;Rutaceae;0;0;0;0;0;1;1;0;0;0;0;0;Halbstrauch;0;0;1;0;0;0;0;0;24.05.2026;
