ID;Name Deutsch;Name Latein;Pflanzenfamilie;Jan;Feb;Mar;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Wuchsform;rot;orange;gelb;grün;blau;violett;rosa;weiss;Funddatum
1;Fieberklee;Menyanthes trifoliata;Menyanthaceae;0;0;0;0;1;1;0;0;0;0;0;0;Hydrophyt;0;0;0;0;0;0;0;1;30.01.2026
2;Teichrose;Nuphar lutea;Nymphaeaceae;0;0;0;0;0;1;1;1;0;0;0;0;Hydrophyt;0;0;1;0;0;0;0;0;23.06.2026
3;Strauss-Gilbweiderich;Lysimachia thyrsiflora;Primulaceae;0;0;0;0;1;1;1;0;0;0;0;0;Hydrophyt;0;0;1;0;0;0;0;0;11.04.2026
4;Wasserfeder;Hottonia palustris;Primulaceae;0;0;0;0;1;1;1;0;0;0;0;0;Hydrophyt;0;0;0;0;0;0;0;1;10.05.2026
6;Froschbiss;Hydrocharis morsus-ranae;Hydrocharitaceae;0;0;0;0;0;1;1;1;0;0;0;0;Hydrophyt;0;0;0;0;0;0;0;1;03.08.2026
9;Wiesen-Salbei;Salvia pratensis;Lamiaceae;0;0;0;0;1;1;1;1;0;0;0;0;Staude;0;0;0;0;0;1;0;0;25.04.2026
12;Blutroter Storchschnabel;Geranium sanguineum;Geraniaceae;0;0;0;0;1;1;1;0;0;0;0;0;Staude;0;0;0;0;0;0;1;0;25.04.2026
15;Echter Wundklee;Anthyllis vulneraria;Fabaceae;0;0;0;0;1;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;11.04.2026
20;Europäische Weinrebe;Vitis vinifera (Seyval B);Vitaceae;0;0;0;1;1;0;0;0;0;0;0;0;Kletterpflanze;0;0;0;1;0;0;0;0;03.08.2026
21;Wintergrüne Ölweide;Elaeagnus ebbingei;Elaeagnaceae;0;0;0;0;0;0;0;0;1;1;1;0;Strauch;0;0;1;0;0;0;0;1;24.06.2026
22;Feldahorn;Acer campestre;Sapindaceae;0;0;0;0;1;0;0;0;0;0;0;0;Baum;0;0;1;1;0;0;0;0;24.06.2026
23;Roter Perückenstrauch;Cotinus coggygria;Anacardiaceae;0;0;0;0;0;1;1;0;0;0;0;0;Strauch;1;0;0;0;0;0;0;0;03.08.2026
